ID,Material_Description
587,"ASSEMBLY COMPRESSOR - 3"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
588,"MOTOR SPARES - 6"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
589,"BALL VALVE - 16"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
590,"SPUR GEAR PINION SHAFT - 3"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
591,"BALL VALVE - 10"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
592,"MOVABLE STOOL - 20"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
593,"BALL VALVE - 10"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
594,"ASSEMBLY COMPRESSOR - 3"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
595,"SUCTION HEADER - 6"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ISO 9001"
596,"SPUR GEAR PINION SHAFT - 3"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
597,"CABLE GLAND - 3"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
598,"BALL VALVE - 3"" - 150# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
599,"BARREL NIPPLE - 6"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
600,"SUCTION HEADER - 10"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
601,"AIR COOLED INTERCOOLER - 12"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
602,"ASSEMBLY COMPRESSOR - 6"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
603,"BELLOW - 20"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
604,"AIR COOLED INTERCOOLER - 8"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
605,"INSULATION GASKET KIT - 10"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ISO 9001"
606,"BARREL NIPPLE - 20"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
607,"INSULATION GASKET KIT - 12"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
608,"ASSEMBLY COMPRESSOR - 3"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
609,"SPUR GEAR PINION SHAFT - 10"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
610,"AIR COOLED INTERCOOLER - 4"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
611,"AIR COOLED INTERCOOLER - 20"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
612,"ASSEMBLY COMPRESSOR - 3"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
613,"CONTAINER ASSEMBLY - 10"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ISO 9001"
614,"AIR COOLED INTERCOOLER - 2"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
615,"HOUSING BOTTOM - 16"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASTM A312"
616,"CONTAINER ASSEMBLY - 4"" - 600# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
617,"MOVABLE STOOL - 20"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ASTM A312"
618,"CONTAINER ASSEMBLY - 3"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASTM A312"
619,"FIXED PORTABLE STOOL - 12"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
620,"SUCTION HEADER - 6"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
621,"BARREL NIPPLE - 8"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
622,"FIXED PORTABLE STOOL - 20"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
623,"INSULATION GASKET KIT - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ISO 9001"
624,"FIXED PORTABLE STOOL - 8"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
625,"BELLOW - 3"" - 300# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
626,"AIR COOLED INTERCOOLER - 3"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
627,"AIR COOLED INTERCOOLER - 16"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
628,"MOTOR SPARES - 3"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
629,"BARREL NIPPLE - 3"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.5"
630,"MOTOR SPARES - 8"" - 600# - SS-316, DRAWING NO. PRJ-R5463-124, ASTM A312"
631,"FIXED PORTABLE STOOL - 12"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
632,"SUCTION HEADER - 3"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ISO 9001"
633,"CONTAINER ASSEMBLY - 2"" - 150# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
634,"BARREL NIPPLE - 8"" - 150# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
635,"HOUSING BOTTOM - 3"" - 600# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
636,"HOUSING BOTTOM - 10"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
637,"BELLOW - 8"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
638,"BALL VALVE - 2"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASTM A312"
639,"BARREL NIPPLE - 6"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
640,"BELLOW - 16"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
641,"BARREL NIPPLE - 4"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
642,"CONTAINER ASSEMBLY - 2"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ISO 9001"
643,"HOUSING BOTTOM - 16"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
644,"MOTOR SPARES - 3"" - 300# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
645,"CONTAINER ASSEMBLY - 16"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
646,"SPUR GEAR PINION SHAFT - 10"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
647,"BALL VALVE - 16"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
648,"MOVABLE STOOL - 2"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
649,"BALL VALVE - 3"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
650,"CABLE GLAND - 20"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
651,"AIR COOLED INTERCOOLER - 6"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
652,"MOVABLE STOOL - 20"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
653,"MOVABLE STOOL - 10"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
654,"HOUSING BOTTOM - 3"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASTM A312"
655,"CABLE GLAND - 8"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
656,"INSULATION GASKET KIT - 3"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
657,"AIR COOLED INTERCOOLER - 10"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
658,"MOTOR SPARES - 4"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.21"
659,"BELLOW - 3"" - 300# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
660,"INSULATION GASKET KIT - 16"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.21"
661,"SPUR GEAR PINION SHAFT - 4"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
662,"BARREL NIPPLE - 2"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ISO 9001"
663,"AIR COOLED INTERCOOLER - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
664,"BARREL NIPPLE - 20"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ASME B16.21"
665,"SPUR GEAR PINION SHAFT - 8"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
666,"BALL VALVE - 6"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
667,"CABLE GLAND - 10"" - 150# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
668,"BARREL NIPPLE - 6"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
669,"CABLE GLAND - 8"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASTM A312"
670,"CABLE GLAND - 4"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
671,"CABLE GLAND - 4"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ISO 9001"
672,"ASSEMBLY COMPRESSOR - 8"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
673,"ASSEMBLY COMPRESSOR - 12"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ISO 9001"
674,"BELLOW - 6"" - 600# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
675,"CONTAINER ASSEMBLY - 6"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
676,"CABLE GLAND - 20"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
677,"BARREL NIPPLE - 2"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASTM A312"
678,"BELLOW - 4"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASTM A312"
679,"CABLE GLAND - 3"" - 300# - SS-316, DRAWING NO. PRJ-R5498-2031, ISO 9001"
680,"CONTAINER ASSEMBLY - 3"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ISO 9001"
681,"HOUSING BOTTOM - 10"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.21"
682,"SPUR GEAR PINION SHAFT - 8"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
683,"ASSEMBLY COMPRESSOR - 2"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
684,"INSULATION GASKET KIT - 3"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
685,"HOUSING BOTTOM - 8"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
686,"FIXED PORTABLE STOOL - 3"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
687,"HOUSING BOTTOM - 2"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ISO 9001"
688,"CONTAINER ASSEMBLY - 3"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
689,"MOVABLE STOOL - 12"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2031, ISO 9001"
690,"BALL VALVE - 6"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
691,"MOVABLE STOOL - 8"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
692,"BALL VALVE - 6"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
693,"FIXED PORTABLE STOOL - 8"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASTM A312"
694,"HOUSING BOTTOM - 16"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
695,"MOVABLE STOOL - 3"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
696,"BELLOW - 2"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASTM A312"
697,"BARREL NIPPLE - 3"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
698,"CONTAINER ASSEMBLY - 3"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
699,"INSULATION GASKET KIT - 4"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
700,"BALL VALVE - 3"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ASTM A312"
701,"HOUSING BOTTOM - 4"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
702,"ASSEMBLY COMPRESSOR - 12"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
703,"SUCTION HEADER - 6"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
704,"SPUR GEAR PINION SHAFT - 4"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ISO 9001"
705,"HOUSING BOTTOM - 16"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
706,"MOTOR SPARES - 2"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
707,"INSULATION GASKET KIT - 4"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
708,"CABLE GLAND - 12"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
709,"INSULATION GASKET KIT - 2"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
710,"MOVABLE STOOL - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASTM A312"
711,"CONTAINER ASSEMBLY - 10"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
712,"BARREL NIPPLE - 12"" - 300# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
713,"MOVABLE STOOL - 2"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
714,"HOUSING BOTTOM - 3"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASTM A312"
715,"SPUR GEAR PINION SHAFT - 8"" - 300# - SS-316, DRAWING NO. PRJ-R5498-2031, ASTM A312"
716,"CABLE GLAND - 20"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
717,"MOTOR SPARES - 20"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ISO 9001"
718,"AIR COOLED INTERCOOLER - 10"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
719,"BALL VALVE - 2"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ISO 9001"
720,"ASSEMBLY COMPRESSOR - 8"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
721,"MOVABLE STOOL - 20"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ISO 9001"
722,"INSULATION GASKET KIT - 16"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ISO 9001"
723,"BARREL NIPPLE - 6"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ISO 9001"
724,"FIXED PORTABLE STOOL - 2"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ISO 9001"
725,"CABLE GLAND - 3"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
726,"ASSEMBLY COMPRESSOR - 8"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
727,"AIR COOLED INTERCOOLER - 2"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
728,"MOTOR SPARES - 6"" - 600# - SS-316, DRAWING NO. PRJ-R5463-124, ASME B16.5"
729,"MOVABLE STOOL - 10"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.5"
730,"MOVABLE STOOL - 6"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
731,"BARREL NIPPLE - 12"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASTM A312"
732,"SUCTION HEADER - 2"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
733,"BELLOW - 16"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASTM A312"
734,"SPUR GEAR PINION SHAFT - 20"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
735,"SUCTION HEADER - 12"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
736,"SUCTION HEADER - 20"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
737,"MOTOR SPARES - 10"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
738,"MOVABLE STOOL - 3"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
739,"INSULATION GASKET KIT - 3"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
740,"BALL VALVE - 10"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ASME B16.21"
741,"BELLOW - 2"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
742,"MOVABLE STOOL - 8"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
743,"CONTAINER ASSEMBLY - 10"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASTM A312"
744,"BELLOW - 16"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
745,"BALL VALVE - 12"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
746,"INSULATION GASKET KIT - 8"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASTM A312"
747,"BELLOW - 16"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
748,"BARREL NIPPLE - 10"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
749,"SUCTION HEADER - 6"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
750,"CABLE GLAND - 3"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
751,"CONTAINER ASSEMBLY - 12"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
752,"CABLE GLAND - 3"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
753,"FIXED PORTABLE STOOL - 16"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
754,"BARREL NIPPLE - 10"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
755,"ASSEMBLY COMPRESSOR - 6"" - 600# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
756,"BELLOW - 3"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
757,"ASSEMBLY COMPRESSOR - 20"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASTM A312"
758,"FIXED PORTABLE STOOL - 3"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
759,"FIXED PORTABLE STOOL - 20"" - 150# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
760,"FIXED PORTABLE STOOL - 3"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
761,"AIR COOLED INTERCOOLER - 3"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
762,"CABLE GLAND - 20"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
763,"SPUR GEAR PINION SHAFT - 20"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
764,"INSULATION GASKET KIT - 4"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
765,"ASSEMBLY COMPRESSOR - 12"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
766,"BARREL NIPPLE - 12"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASTM A312"
767,"MOTOR SPARES - 6"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
768,"HOUSING BOTTOM - 12"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
769,"AIR COOLED INTERCOOLER - 10"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
770,"MOTOR SPARES - 10"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
771,"CONTAINER ASSEMBLY - 3"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASTM A312"
772,"BELLOW - 6"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
773,"CONTAINER ASSEMBLY - 4"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASTM A312"
774,"BALL VALVE - 16"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
775,"SPUR GEAR PINION SHAFT - 16"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
776,"BALL VALVE - 20"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.5"
777,"MOVABLE STOOL - 20"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
778,"AIR COOLED INTERCOOLER - 6"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
779,"CONTAINER ASSEMBLY - 8"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
780,"MOTOR SPARES - 4"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
